CPU:0 [LOST 44585 EVENTS]
 0)   0.198 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.195 us    |                          lock_page_memcg();
 0)   0.195 us    |                          PageHuge();
 0)   0.195 us    |                          unlock_page_memcg();
 0)   1.342 us    |                        }
 0)   0.196 us    |                        __tlb_remove_page_size();
 0)   0.196 us    |                        _vm_normal_page();
 0)   0.189 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.195 us    |                          lock_page_memcg();
 0)   0.197 us    |                          PageHuge();
 0)   0.194 us    |                          unlock_page_memcg();
 0)   1.341 us    |                        }
 0)   0.196 us    |                        __tlb_remove_page_size();
 0)   0.196 us    |                        _vm_normal_page();
 0)   0.197 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.197 us    |                          lock_page_memcg();
 0)   0.195 us    |                          PageHuge();
 0)   0.195 us    |                          unlock_page_memcg();
 0)   1.339 us    |                        }
 0)   0.197 us    |                        __tlb_remove_page_size();
 0)   0.197 us    |                        _vm_normal_page();
 0)   0.198 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.197 us    |                          lock_page_memcg();
 0)   0.194 us    |                          PageHuge();
 0)   0.193 us    |                          unlock_page_memcg();
 0)   1.340 us    |                        }
 0)   0.195 us    |                        __tlb_remove_page_size();
 0)   0.197 us    |                        _vm_normal_page();
 0)   0.198 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.197 us    |                          lock_page_memcg();
 0)   0.195 us    |                          PageHuge();
 0)   0.195 us    |                          unlock_page_memcg();
 0)   1.337 us    |                        }
 0)   0.194 us    |                        __tlb_remove_page_size();
 0)   0.196 us    |                        _vm_normal_page();
 0)   0.530 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.196 us    |                          lock_page_memcg();
 0)   0.194 us    |                          PageHuge();
 0)   0.194 us    |                          unlock_page_memcg();
 0)   1.333 us    |                        }
 0)   0.195 us    |                        __tlb_remove_page_size();
 0)   0.195 us    |                        _vm_normal_page();
 0)   0.197 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.195 us    |                          lock_page_memcg();
 0)   0.194 us    |                          PageHuge();
 0) + 13.440 us   |                          unlock_page_memcg();
 0) + 14.740 us   |                        }
